Seed,Trait,Method,Model,Predictive_ability,Prediction_accuracy
153,GNP,T2,GCA,0.83901699337728,0.895429021747364
153,GNP,T2,GCA+SCA,0.761601729530634,0.821576838760123
154,DTA,T2,GCA,0.829075084537319,0.868141449777297
154,DTA,T2,GCA+SCA,0.791663963234337,0.83157979331338
154,PH,T2,GCA,0.926573600055996,0.92936168511133
154,PH,T2,GCA+SCA,0.767161364191277,0.770242333525379
154,TGW,T2,GCA,0.871065779034105,0.888842631667454
154,TGW,T2,GCA+SCA,0.746342185714119,0.764694862412007
154,GY,T2,GCA,0.832320315245165,0.894006783292336
154,GY,T2,GCA+SCA,0.686899716252884,0.740193659755263
154,GNP,T2,GCA,0.838606720620218,0.894991163949005
154,GNP,T2,GCA+SCA,0.687226802404657,0.741344986412791
155,DTA,T2,GCA,0.916301239535847,0.959477737733871
155,DTA,T2,GCA+SCA,0.877098964729549,0.921322441942804
155,PH,T2,GCA,0.943932056448394,0.946772373569102
155,PH,T2,GCA+SCA,0.772175325700335,0.775276431426039
155,TGW,T2,GCA,0.889940337675621,0.908102385383286
155,TGW,T2,GCA+SCA,0.795648961013262,0.815214099398834
155,GY,T2,GCA,0.77453340267481,0.831937059801085
155,GY,T2,GCA+SCA,0.71381939479755,0.769201934049084
155,GNP,T2,GCA,0.76394423758743,0.815308684725112
155,GNP,T2,GCA+SCA,0.66333727071656,0.715574186317756
156,DTA,T2,GCA,0.909529034012302,0.952386423049531
156,DTA,T2,GCA+SCA,0.810936444071474,0.851823995873398
156,PH,T2,GCA,0.950169685749674,0.953028772065872
156,PH,T2,GCA+SCA,0.766479661438936,0.76955789301098
156,TGW,T2,GCA,0.898070095917602,0.916398057058778
156,TGW,T2,GCA+SCA,0.781878918548644,0.801105449332627
156,GY,T2,GCA,0.862755389583773,0.926697518349917
156,GY,T2,GCA+SCA,0.764869930478856,0.82421328715394
156,GNP,T2,GCA,0.867005375891634,0.925299227205586
156,GNP,T2,GCA+SCA,0.763604118724784,0.823736913403219
157,DTA,T2,GCA,0.780955379450748,0.817754324032197
157,DTA,T2,GCA+SCA,0.715964677373998,0.752063736737393
157,PH,T2,GCA,0.871467449505359,0.874089718661343
157,PH,T2,GCA+SCA,0.694500879516064,0.697290039674763
157,TGW,T2,GCA,0.903639481263531,0.922081103330134
157,TGW,T2,GCA+SCA,0.826868678500899,0.847201514857478
