Seed,Trait,Method,Model,Predictive_ability,Prediction_accuracy
142,GNP,T2,GCA,0.567915275815451,0.746275001071552
142,GNP,T2,GCA+SCA,0.220490895135028,0.31364280958041
143,DTA,T2,GCA,0.839845985549848,0.88872591063476
143,DTA,T2,GCA+SCA,0.626369516616269,0.686808680500295
143,PH,T2,GCA,0.826760353437705,0.864812085185883
143,PH,T2,GCA+SCA,0.373815689742274,0.386173233204828
143,TGW,T2,GCA,0.838338407639924,0.903381904784401
143,TGW,T2,GCA+SCA,0.490438234299508,0.579029792561403
143,GY,T2,GCA,0.521815785536631,0.669853383230592
143,GY,T2,GCA+SCA,0.366423051770541,0.493166960660217
143,GNP,T2,GCA,0.500337374491489,0.657473553865294
143,GNP,T2,GCA+SCA,0.0850140406525416,0.120930356547001
144,DTA,T2,GCA,0.867873485948632,0.918384641215484
144,DTA,T2,GCA+SCA,0.653342201110634,0.716383992445871
144,PH,T2,GCA,0.762972343338682,0.798088225249668
144,PH,T2,GCA+SCA,0.330895483841313,0.341834177522018
144,TGW,T2,GCA,0.786803333037332,0.847848419221263
144,TGW,T2,GCA+SCA,0.459583492280234,0.542601525714561
144,GY,T2,GCA,0.596458349290445,0.765671821938954
144,GY,T2,GCA+SCA,0.487737155791731,0.656443009140957
144,GNP,T2,GCA,0.546446732183478,0.718064037034794
144,GNP,T2,GCA+SCA,0.311424791524517,0.442994013548389
145,DTA,T2,GCA,0.835557588833287,0.884187924691309
145,DTA,T2,GCA+SCA,0.59304102746436,0.650264284500395
145,PH,T2,GCA,0.706554951727939,0.73907421728864
145,PH,T2,GCA+SCA,0.250486048693021,0.258766579228328
145,TGW,T2,GCA,0.857528490984847,0.924060873906085
145,TGW,T2,GCA+SCA,0.488913139656479,0.577229208567272
145,GY,T2,GCA,0.689088084910773,0.884580340065178
145,GY,T2,GCA+SCA,0.3122831360414,0.420300317686945
145,GNP,T2,GCA,0.614012604962303,0.806849678005654
145,GNP,T2,GCA+SCA,0.135323673955795,0.192494557547361
146,DTA,T2,GCA,0.840623359837481,0.889548528928552
146,DTA,T2,GCA+SCA,0.606357226703881,0.664865380157764
146,PH,T2,GCA,0.760123866442259,0.795108646906129
146,PH,T2,GCA+SCA,0.305363891344166,0.315458565438188
146,TGW,T2,GCA,0.648194832640901,0.698485811035454
146,TGW,T2,GCA+SCA,0.2362576819513,0.278934689434829
146,GY,T2,GCA,0.550163055624226,0.706242690146631
146,GY,T2,GCA+SCA,0.391482201121826,0.52689394498227
146,GNP,T2,GCA,0.591053070598639,0.776679462021865
146,GNP,T2,GCA+SCA,0.197995567178955,0.281643765546167
147,DTA,T2,GCA,0.843534317047732,0.892628906928816
147,DTA,T2,GCA+SCA,0.669954634882258,0.734599380353353
147,PH,T2,GCA,0.79165581483296,0.828091856519832
147,PH,T2,GCA+SCA,0.385483500395727,0.398226756607156
147,TGW,T2,GCA,0.738152131727536,0.795422555740879
147,TGW,T2,GCA+SCA,0.348075654680996,0.410951186164104
147,GY,T2,GCA,0.732405697394707,0.940187031315413
147,GY,T2,GCA+SCA,0.617209136061796,0.830698702640372
147,GNP,T2,GCA,0.679049325958881,0.89231186065556
147,GNP,T2,GCA+SCA,0.328450762188395,0.467213032984915
148,DTA,T2,GCA,0.84022769368695,0.889129834589365
148,DTA,T2,GCA+SCA,0.580196186075905,0.636180028592002
148,PH,T2,GCA,0.766178408938274,0.801441850353844
148,PH,T2,GCA+SCA,0.317012998859412,0.327492767416748
148,TGW,T2,GCA,0.815600382293179,0.878879722298684
148,TGW,T2,GCA+SCA,0.391729734403298,0.46249083164498
148,GY,T2,GCA,0.698729894463864,0.896957502521007
148,GY,T2,GCA+SCA,0.531569706133309,0.715437020367845
148,GNP,T2,GCA,0.715210449402463,0.93982976268392
148,GNP,T2,GCA+SCA,0.356963060158375,0.507771067081614
149,DTA,T2,GCA,0.835429943328773,0.884052850083358
149,DTA,T2,GCA+SCA,0.599977523544807,0.657870091606148
149,PH,T2,GCA,0.743128435067712,0.777330999024803
149,PH,T2,GCA+SCA,0.2683941892106,0.277266724391116
149,TGW,T2,GCA,0.851934573622203,0.918032945713581
149,TGW,T2,GCA+SCA,0.474406274433299,0.560101858835063
149,GY,T2,GCA,0.664886224147771,0.853512482859784
149,GY,T2,GCA+SCA,0.358598369288922,0.48263575947365
149,GNP,T2,GCA,0.602815481687957,0.79213598119311
149,GNP,T2,GCA+SCA,0.171336085922331,0.243721317101466
150,DTA,T2,GCA,0.754467799848996,0.798378624178831
150,DTA,T2,GCA+SCA,0.503103308797611,0.551648364909661
150,PH,T2,GCA,0.743850643246944,0.778086446911029
150,PH,T2,GCA+SCA,0.302536977760868,0.312538200166186
150,TGW,T2,GCA,0.636318489592815,0.685688027578465
150,TGW,T2,GCA+SCA,0.179950598704035,0.212456432944551
150,GY,T2,GCA,0.464004777204211,0.595641562521452
150,GY,T2,GCA+SCA,0.364761524434709,0.490930719293014
150,GNP,T2,GCA,0.472883637158978,0.621397683520339
150,GNP,T2,GCA+SCA,0.289557992795345,0.411889036693237
151,DTA,T2,GCA,0.791695939173693,0.837773480607083
151,DTA,T2,GCA+SCA,0.568624999856306,0.623492324403844
151,PH,T2,GCA,0.765637475596902,0.800876020498851
151,PH,T2,GCA+SCA,0.2932211072535,0.302914366997418
151,TGW,T2,GCA,0.821676386367593,0.88542714048232
151,TGW,T2,GCA+SCA,0.374009722486413,0.441569920290924
151,GY,T2,GCA,0.414545105519594,0.532150328009749
151,GY,T2,GCA+SCA,0.00235512470951993,0.00316975061846558
151,GNP,T2,GCA,0.412603036291146,0.542185330211756
151,GNP,T2,GCA+SCA,0.0227323313761459,0.0323361754994963
152,DTA,T2,GCA,0.856495936692233,0.906344906552627
